comparison,diff,lwr,upr,p adj,time_delta,test,padj_method,variable
Neomycin-D-Scour,2.28652268711501,-8.53411275585547,13.1071581300855,0.989036715833577,t6_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-D-Scour,-0.764433773883043,-11.5850692168535,10.0562016690874,0.999943974641161,t6_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-D-Scour,3.03099066056853,-8.27079446261213,14.3327757837492,0.968456979715026,t6_t8,anova,TukeyHSD,BWPD
Neomycin-ColiGuard,2.76848583453548,-7.54858525220178,13.0855569212727,0.968379405104601,t6_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-ColiGuard,-0.282470626462571,-10.5995417131998,10.0346004602747,0.999999499304301,t6_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-ColiGuard,3.512953807989,-7.30768163498147,14.3335892509595,0.930233661977717,t6_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Neomycin,-3.05095646099805,-13.3680275477353,7.26611462573921,0.952320743273993,t6_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin,0.744467973453525,-10.0761674695169,11.565103416424,0.999950853426576,t6_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin+D-Scour,3.79542443445157,-7.0252110085189,14.616059877422,0.905507166679227,t6_t8,anova,TukeyHSD,BWPD
D-Scour-Control,3.68931207740024,-17.8137164939661,25.1923406487665,0.995781608879918,t2_t6,anova,TukeyHSD,unrooted_PD
ColiGuard-Control,6.23005476740783,-14.3129174870962,26.7730270219118,0.946656123563558,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin-Control,11.0936282403091,-9.44934401419485,31.6366004948131,0.607888862829792,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Control,0.0178712945735313,-20.9669358568372,21.0026784459843,1,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Control,6.36064695055611,-15.7592820020599,28.4805759031721,0.957231069052803,t2_t6,anova,TukeyHSD,unrooted_PD
ColiGuard-D-Scour,2.54074269000759,-18.531319753152,23.6128051331672,0.999219454218469,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin-D-Scour,7.4043161629089,-13.6677462802507,28.4763786060685,0.904175690928069,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-D-Scour,-3.6714407828267,-25.174469354193,17.8315877885396,0.995876814778305,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-D-Scour,2.67133487315587,-19.9408159185727,25.2834856648845,0.999293084301825,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin-ColiGuard,4.86357347290131,-15.2278497448984,24.954996690701,0.979638018279146,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-ColiGuard,-6.2121834728343,-26.7551557273383,14.3307887816697,0.94728251850649,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-ColiGuard,0.130592183148281,-21.5706251729403,21.8318095392368,0.999999999739378,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Neomycin,-11.0757569457356,-31.6187292002396,9.46721530876838,0.609537761730236,t2_t6,anova,TukeyHSD,unrooted_PD
