DNA_plate,DNA_well,metric,value,analysis
plate_1,E8,bwpd,2.15037,100K
plate_1,E9,unrooted_pd,121.128,100K
plate_1,E9,bwpd,2.07035,100K
plate_1,F10,unrooted_pd,121.151,100K
plate_1,F10,bwpd,2.26322,100K
plate_1,F11,unrooted_pd,139.745,100K
plate_1,F11,bwpd,2.17781,100K
plate_1,F12,unrooted_pd,129.547,100K
plate_1,F12,bwpd,2.1759,100K
plate_1,F1,unrooted_pd,134.522,100K
plate_1,F1,bwpd,2.047,100K
plate_1,F2,unrooted_pd,100.29,100K
plate_1,F2,bwpd,2.26111,100K
plate_1,F3,unrooted_pd,112.983,100K
plate_1,F3,bwpd,2.03417,100K
plate_1,F4,unrooted_pd,110.608,100K
plate_1,F4,bwpd,2.37132,100K
plate_1,F5,unrooted_pd,126.276,100K
plate_1,F5,bwpd,2.09126,100K
plate_1,F6,unrooted_pd,108.169,100K
plate_1,F6,bwpd,2.12277,100K
plate_1,F7,unrooted_pd,124.905,100K
plate_1,F7,bwpd,2.19272,100K
plate_1,F8,unrooted_pd,64.6989,100K
plate_1,F8,bwpd,1.72924,100K
plate_1,F9,unrooted_pd,150.516,100K
plate_1,F9,bwpd,2.19526,100K
plate_1,G10,unrooted_pd,119.646,100K
plate_1,G10,bwpd,2.17943,100K
plate_1,G11,unrooted_pd,131.15,100K
plate_1,G11,bwpd,2.24469,100K
plate_1,G12,unrooted_pd,108.397,100K
plate_1,G12,bwpd,2.12487,100K
plate_1,G1,unrooted_pd,112.642,100K
plate_1,G1,bwpd,2.18194,100K
plate_1,G2,unrooted_pd,126.891,100K
plate_1,G2,bwpd,2.3654,100K
plate_1,G3,unrooted_pd,115.197,100K
plate_1,G3,bwpd,1.98474,100K
plate_1,G4,unrooted_pd,127.057,100K
plate_1,G4,bwpd,1.99245,100K
plate_1,G5,unrooted_pd,122.922,100K
plate_1,G5,bwpd,2.05769,100K
plate_1,G6,unrooted_pd,136.247,100K
plate_1,G6,bwpd,2.1018,100K
plate_1,G7,unrooted_pd,122.375,100K
plate_1,G7,bwpd,2.04481,100K
plate_1,G8,unrooted_pd,110.658,100K
plate_1,G8,bwpd,2.27282,100K
plate_1,G9,unrooted_pd,126.284,100K
plate_1,G9,bwpd,2.13562,100K
plate_1,H10,unrooted_pd,104.785,100K
plate_1,H10,bwpd,2.15138,100K
plate_1,H11,unrooted_pd,117.017,100K
plate_1,H11,bwpd,2.08493,100K
