isolation_source,collection_date,Cohort,phylo_entropy,quadratic,unrooted_pd,rooted_pd,bwpd
29742,t1,D-Scour,3.63805293273898,1.04700236748993,329.312802249833,329.312610434715,2.40056669003481
14159,t8,D-Scour,3.20221297303514,0.903938427550754,328.596818854994,328.596639254416,2.15648066945733
14205,t2,D-Scour,3.69644581706189,0.984864804252409,367.082052087651,367.081215936346,2.20152138948946
14265,t4,Neomycin,3.36970737485646,0.945771735394224,320.125474442786,320.125439361725,2.182877522489
29752,t9,D-Scour,3.39620319252047,0.870987120414372,344.695187638326,344.694733402652,1.98093288042192
29753,t1,Neomycin,3.19660755311603,0.864151188518224,295.337363796618,295.33775159599,2.01538549882092
29691,t2,Neomycin+D-Scour,3.48524027646738,0.895491949744344,356.538183414596,356.537527139676,2.00273299262326
29796,t0,Neomycin,3.50735133760931,0.993633086218053,286.250749288712,286.251056479513,2.30558071741301
29961,t9,Neomycin+D-Scour,3.2481885529677,0.911436532020382,296.883032351829,296.88339378239,2.12560635230351
29702,t3,Neomycin+ColiGuard,3.59646702767685,0.936267559114739,349.098035212565,349.097505865152,2.06934444657178
29914,t2,D-Scour,3.63237326884744,0.974766005890162,313.886512219203,313.886583573646,2.16085720713411
29742,t2,D-Scour,3.75419834712251,1.04954439911429,334.851541719343,334.851255414388,2.372206358884
14322,t6,Control,3.38309913138506,0.886361967630544,333.905903273329,333.905633100785,1.98280460722709
29694,t3,Neomycin,3.35544325165171,0.862235776577488,350.533379282407,350.532825448299,1.9569307366851
14295,t0,Neomycin+D-Scour,3.42294030309489,0.921654432563631,289.816636487984,289.817118469909,2.0937869966157
14265,t1,Neomycin,3.54668644415682,0.936067574109326,353.21043669267,353.209837188474,2.12528522270458
14261,t9,Neomycin+ColiGuard,3.27416466282463,0.891917995492048,302.595138869775,302.59540285289,2.04734248147969
29865,t3,Neomycin+D-Scour,3.60555263380402,0.968186943623189,354.956490537632,354.955861246091,2.169940587218
29753,t8,Neomycin,3.40260673514329,0.882203168340194,336.895921978821,336.895600797129,1.99078697154323
14308,t1,ColiGuard,3.13358370101227,0.894044947127398,260.188883366324,260.189870792057,2.23178097283963
14271,t0,Control,3.10571436985815,0.883758607271186,259.582098696799,259.583096474162,2.06167403672316
29652,t2,Neomycin+D-Scour,3.32051146261938,0.879526924556642,321.828749405665,321.828685267059,2.0197620364977
14288,t2,ColiGuard,3.46060983861089,0.881738314305389,346.457002124054,346.456517832162,1.99988870188992
29668,t1,Neomycin,3.4973327634783,0.986126931842128,307.19274293349,307.192928482359,2.25281954913494
29694,t4,Neomycin,3.47018731105546,0.889038211414097,358.166032453805,358.165348408092,2.00288896985702
14263,t4,Neomycin+ColiGuard,3.44613226398538,0.919284832455045,353.917414007071,353.916802441977,2.08844707014214
14262,t3,D-Scour,3.06593816162421,0.855534056840528,260.200140966872,260.201128200553,1.99028233931635
14159,t9,D-Scour,3.11251697383283,0.897288259504079,301.774459789841,301.774737773585,2.17867531230877
29846,t8,D-Scour,3.25873119705397,0.917177434909112,310.672467262811,310.672593448247,2.14344280774096
14171,t0,Neomycin+ColiGuard,3.28835454205694,0.941843141065661,246.266608768879,246.267833705957,2.21181588691787
14322,t7,Control,3.3773823455073,0.885137170575169,344.960867011254,344.96040824314,2.0029715460396
14171,t2,Neomycin+ColiGuard,3.44815541223433,0.938075423563675,333.070589312683,333.070333390436,2.15726055562615
14174,t0,Neomycin+D-Scour,3.03088082772524,0.874218885882864,260.367456249659,260.367951831729,2.08554295928847
14298,t0,Neomycin+D-Scour,3.42987728521713,0.983843620106295,284.617608472655,284.61800737461,2.25338940434442
29631,t0,Control,3.25579856014265,0.843281642175542,327.39450711649,327.394348027121,1.91164228810523
14192,t0,Neomycin,3.3513482848983,0.869952571058648,346.654072552214,346.653514407794,1.98157830039477
29948,t7,Control,2.97372714785555,0.876061406618392,271.998106340951,271.998892303596,2.26113221818141
29864,t9,D-Scour,3.25263391081745,0.895867921554521,290.596788205946,290.597256878631,2.04507622402442
14184,t8,Control,3.37999944553576,0.90444861152012,313.636593487042,313.636669105051,2.05166396836809
29665,t7,Control,3.21471380189447,0.936531539321885,282.833546868193,282.834147980293,2.19008917576772
29694,t7,Neomycin,3.39381810490588,0.894074278261526,346.45137332378,346.450889127914,2.02526711533642
29875,t2,D-Scour,3.45873780129325,0.865796740715221,355.119887067517,355.119178716271,1.96033572131568
14320,t3,Neomycin+D-Scour,3.52587029038436,0.922594806500196,322.243029105824,322.242957899685,2.07951966729201
14288,t3,ColiGuard,3.55909446805061,0.965922224539664,336.249735707378,336.2494255495,2.18523553125825
14205,t0,D-Scour,3.29365370558974,0.899244557268143,291.509779610371,291.510232707598,2.10559539072476
14209,t1,ColiGuard,3.56685296317043,0.925432815932572,348.979830406813,348.979303075952,2.04060793503366
14265,t3,Neomycin,3.27984432671618,0.898457060757938,322.751872650584,322.751792763671,2.09878744322754
14260,t7,Neomycin+ColiGuard,3.36675617695203,0.944709592809918,324.842409072307,324.842293521243,2.17752842088404
29700,t7,ColiGuard,3.21371150826655,0.925130616368836,293.708388997354,293.708804586724,2.22693650346156
14322,t4,Control,3.33976849297063,0.938667379179699,320.095078921307,320.095044358788,2.23402888003211
14209,t9,ColiGuard,3.33622334328669,0.875338794132165,330.269698296394,330.269490156813,1.99237426927507
14322,t0,Control,3.08868465868007,0.853036466328478,271.285500226276,271.286298345845,1.98440108009032
14207,t0,Neomycin,3.47126384865582,0.931206605244414,323.89114182602,323.891042503393,2.13188214217965
29666,t1,Control,3.49297093009754,0.937689674708789,328.774688943649,328.774506308641,2.10487055534432
29924,t8,ColiGuard,3.47435425400858,0.919071515115937,335.532626552484,335.532328628352,2.09655788629786
29847,t3,Neomycin,3.31129592954045,0.954758617126373,294.989503939692,294.989897673486,2.25760896772463
14171,t4,Neomycin+ColiGuard,3.36555737938217,0.934943747853991,289.352703888875,289.352886654757,2.13928793184866
29665,t4,Control,3.60719846013442,0.932968660152755,369.816989003843,369.816750633791,2.07301668681003
14187,t1,Control,3.71401238742566,0.949310788160128,342.589262058603,342.589166193691,2.09051512495965
29704,t7,ColiGuard,3.25671807423482,0.885865458491287,268.723639248044,268.723929982828,2.02491587653516
29778,t2,D-Scour,3.56944541689664,0.920645616362079,356.447988941397,356.447820542342,2.05970054337731
29901,t2,ColiGuard,3.56850924224315,0.915866745349574,346.844102643495,346.843984509495,2.05344920645372
14284,t0,ColiGuard,3.33817373540963,0.938109830984778,299.954704045294,299.954765404751,2.18935749468777
14208,t3,Neomycin,2.40313382887899,0.867671741696485,39.5369086560171,39.5383989138944,2.01592350079076
29948,t1,Control,3.52594930222688,0.944338614499925,318.21225119859,318.212282918671,2.13883698675233
29847,t9,Neomycin,3.24498888602814,0.86459500788731,313.38997806171,313.390035020722,1.97738095814588
29742,t3,D-Scour,3.78886135130791,1.06047144454148,346.129390623396,346.129276230072,2.37083497572145
29702,t7,Neomycin+ColiGuard,3.39424573150396,0.886591238339816,326.024387893637,326.024378726367,2.01369530149126
29753,t3,Neomycin,3.54111713194926,0.887372503207591,359.761325196397,359.761139455923,1.96471028514516
29694,t0,Neomycin,3.39853089008222,0.889653431242309,344.685353019749,344.685437380183,2.04744312397209
29700,t8,ColiGuard,3.43877703930017,0.917107998925294,340.402658912407,340.402574491791,2.08655388176055
29631,t2,Control,3.67040825260358,0.942591731313331,359.130643793073,359.130461353474,2.09590878199415
29653,t0,Neomycin,3.0148011280122,0.85140541783377,265.65742010457,265.657901797226,2.02668332675027
14297,t0,Neomycin+ColiGuard,3.25440464263918,0.89428754746108,305.103474981641,305.103575310754,2.10006455052893
14317,t9,D-Scour,3.2473653293793,0.923495935495943,299.102966099868,299.103097834591,2.17007598724886
29666,t7,Control,3.35536747834612,0.919658519971294,304.365270531045,304.365374723791,2.11640467872524
14187,t6,Control,3.25487272996592,0.931936817778706,294.393637340374,294.393793722897,2.1790241526897
29667,t3,Neomycin+D-Scour,3.39390366768826,0.89950582402923,329.700049711293,329.700021306254,2.02011463756838
14195,t2,Neomycin+ColiGuard,3.42365421797459,0.889082694687909,325.117218654471,325.117214235166,2.01238667650584
29667,t1,Neomycin+D-Scour,3.50854905602311,0.93970114079453,345.085784576347,345.085675645075,2.13108249950765
29752,t2,D-Scour,3.71351729506084,1.00200634280982,331.398733147181,331.398695851532,2.23426050595938
14208,t2,Neomycin,3.45867551683926,0.92436612450096,334.886877642609,334.88688527502,2.11320042977826
29715,t4,Neomycin+ColiGuard,3.40831535634436,0.940960292763556,311.304573077652,311.304640951307,2.14848367498944
29652,t9,Neomycin+D-Scour,3.00200655505118,0.876550239695562,256.709068159213,256.709421776151,2.05979780604515
29864,t7,D-Scour,3.24139721596331,0.904639978148846,283.133534692482,283.133750008404,2.06436030937269
14288,t1,ColiGuard,3.60564116960506,1.02840647293509,316.534349528141,316.534390030065,2.35898661436698
14190,t4,Neomycin,3.38091424437112,0.921635397511861,323.154697153009,323.154703005196,2.10178875236782
29865,t0,Neomycin+D-Scour,3.35753158525429,0.912852307220454,313.33626061568,313.336251983639,2.11420539372935
14161,t4,Control,3.41786613814581,0.970847924824353,293.617483578977,293.617644023751,2.18651337811301
14287,t0,Neomycin+D-Scour,3.3126833837551,0.947868896293525,271.238807194944,271.23879980486,2.17744223993827
